0,1,2,3,4,5,6,7
22.38616371,-17.60082626,1,0.284807682,4.060175419,1,0,1
7.595832348,-7.861721516,1,4.015342712,-0.134312168,1,0,0
23.07224846,-21.55068016,1,-1.427479744,3.709568501,1,0,1
7.318436146,-6.955507278,1,1.559450388,0.11338006,1,0,0
17.14998817,-17.7405777,1,-0.246762037,0.364069074,1,0,1
12.61114025,-13.04375935,1,0.074207075,0.262939632,1,0,1
13.47472286,-12.83658028,1,-0.104346983,1.30742085,1,0,1
21.46193504,-21.3211174,1,-2.625870466,7.192307949,1,0,1
4.4198699,-3.902855635,1,-0.487699509,4.180021286,1,0,1
0.662856936,-0.66111666,0.789473684,2.706196547,0.024243172,1,0,0
22.08662987,-16.73493576,1,-0.028109783,6.892654419,1,0,1
5.650847435,-6.590438843,1,2.377465248,0.015307229,1,0,0
30.75306511,-19.77187157,1,0.428237677,4.830533028,1,0,1
14.83747101,-9.595003128,1,-0.392279625,8.683134079,1,0,1
10.89380455,-6.949641228,1,3.329640865,2.802037239,1,0,0
27.24796867,-17.73022079,1,-0.372596979,6.239684105,1,0,1
-0.297561735,0.536727428,0.94,0.05405236,6.159734726,1,1,1
5.992481709,-3.724228859,1,1.797014236,5.080296516,0.833333333,0,1
-2.136258602,1.561724186,1,-0.006705934,8.42682457,1,1,1
8.734735489,-4.730988503,1,-4.1057477,10.85417747,1,0,1
3.665169477,-2.288362741,1,0.238051832,7.217835903,1,0,1
3.675873518,-2.296315193,1,0.238051832,7.217835903,1,0,1
1.041966915,-1.482613683,1,1.53345561,3.299460888,0.875,0,1
3.475595236,-2.726418257,1,-3.079020023,2.361903906,1,0,1
1.999002457,-0.971160591,1,0.86155653,0.278212458,1,0,0
21.81949234,-17.44876862,1,-0.972672105,5.267546177,1,0,1
-1.677116752,0.920132995,1,1.613735676,0.082946777,1,1,0
34.602314,-30.60156059,1,-3.157071352,7.285727978,1,0,1
13.24171925,-15.05307579,1,-1.105094671,4.233040333,1,0,1
6.837269306,-7.375662327,1,2.701037884,-0.050944481,1,0,0
36.66080093,-30.32351875,1,3.355401754,0.958673894,1,0,0
30.38644981,-28.55642509,1,2.686768532,1.017372847,1,0,0
4.557684898,-5.376168251,1,1.348157525,1.419254661,0,0,1
25.60719872,-18.33607674,1,-1.505858898,10.62422085,1,0,1
12.2508812,-9.439601898,1,1.950238109,6.601889133,1,0,1
4.38560009,-2.411968708,1,1.296332002,7.185495377,1,0,1
4.737941265,-2.512463331,1,-1.509621859,11.30748367,1,0,1
8.115539551,-4.644005775,1,-3.544052362,12.65716743,1,0,1
-0.682556748,0.195112303,0.941176471,-0.056028359,2.35781002,1,1,1
6.597108841,-5.673606396,1,-1.629282713,0.37112245,1,0,1
5.295955658,-5.211163998,1,-1.366903067,1.275570512,1,0,1
2.630804539,-2.717722416,1,1.123727322,0.486686498,1,0,0
21.81039429,-17.92967606,1,3.452167034,-0.081693679,1,0,0
15.10538483,-13.94666481,1,1.217267513,1.470969915,0.5,0,1
8.304000854,-8.26599884,1,-0.973348975,6.229693413,1,0,1
10.42780018,-9.475676537,1,2.034299374,0.070447907,1,0,0
18.40616798,-18.24714088,1,-1.16686058,0.703719079,1,0,1
10.71377945,-6.381569862,1,0.025189286,11.01418495,1,0,1
7.032230854,-4.555747032,1,-1.266113162,6.939903736,1,0,1
9.113388062,-5.93759346,1,6.287128925,5.727331638,0,0,0
6.726045132,-3.313400269,1,-2.188397408,11.94250584,1,0,1
2.340875387,-1.708139658,1,2.025044441,2.719480276,0,0,1
25.41099358,-15.63211918,1,0.068827637,10.52009583,1,0,1
23.35064316,-15.95142365,1,-0.847599387,8.158808708,1,0,1
23.63684654,-16.06822205,1,-1.809963822,8.712649345,1,0,1
14.97764206,-11.71175289,1,-1.574535966,6.345458508,1,0,1
-9.079483986,7.890390396,1,0.693984032,0.16035378,0,1,0
10.61238956,-8.493063927,1,2.498705626,0.016297024,1,0,0
14.98138714,-14.5879097,1,1.05478549,0.158392265,1,0,0
2.490486145,-2.211489439,1,0.865154982,10.97721958,1,0,1
1.904455304,-0.999980867,1,-4.428307056,15.84305191,1,0,1
8.540545464,-5.903337002,1,-3.157385826,14.13944244,1,0,1
6.44423914,-3.680809975,1,-2.874968052,14.40835762,1,0,1
7.195721626,-4.313150406,1,-2.284380198,9.117220879,1,0,1
6.642172337,-4.254416466,1,1.127637267,6.640396595,1,0,1
39.1575737,-25.52550125,1,-0.990552902,7.523664951,1,0,1
3.171233416,-2.931864023,1,-0.406004906,5.944303036,1,0,1
4.525862694,-1.725333095,1,-0.755779862,11.63455963,1,0,1
3.005466223,-1.645639658,1,0.934467793,10.98903275,1,0,1
4.325758457,-2.673778057,1,-2.314050674,13.73256302,1,0,1
4.962949276,-2.54164958,1,-1.296176791,12.4204998,1,0,1
19.44964981,-12.55753136,1,-0.669343472,9.871190071,1,0,1
7.582586288,-4.769523621,1,-1.963374376,13.08906651,1,0,1
8.403214455,-4.279166222,1,-0.382056117,5.929452896,1,0,1
23.33870888,-14.60580826,1,-1.561727643,11.93000507,1,0,1
0.395232409,0.543595731,0.785714286,-0.568570197,8.674203873,1,1,1
-1.049759269,1.229069591,1,-3.644451618,12.09113598,1,1,1
20.92625237,-13.09958172,1,0.77499342,6.173577785,1,0,1
8.9584589,-4.730213642,1,-0.224476933,10.11523247,1,0,1
17.3704319,-14.09415531,1,1.332244039,4.814425468,0.933333333,0,1
4.426907063,-2.877867222,1,0.47640717,6.083768845,1,0,1
2.174295664,-0.650642931,1,3.889448404,0.165778682,1,0,0
1.632506609,-1.380152106,1,-2.097709656,9.921983719,1,0,1
0.425907224,-1.084890723,0.882352941,-0.942112207,8.504552841,1,0,1
2.092644453,-2.52790451,1,0.645631552,0.856727123,0,0,1
1.243714213,-1.498845339,1,-0.161710024,1.283235312,1,0,1
0.777030945,-0.002199993,0.666666667,2.125170708,4.367825985,0.857142857,0,1
-2.854754925,2.576078176,1,1.406559229,0.445852995,1,1,0
