0,1,2,3,4,5
13.67028904,-9.656417847,1,-0.292923957,-1.03698802,0
-1.222418189,-2.630384445,1,1.003509998,-3.484596014,1
17.3222599,-11.876544,1,0.05638836,-0.613828003,0
5.931657314,-5.895946503,1,0.371128529,-2.120647669,1
17.04548454,-12.19046974,1,-0.252160579,-0.714891493,0
2.611573935,-4.34657383,1,-0.02,-1.443541288,0
6.323587894,-5.987380981,1,-0.483185798,-0.949493229,0
11.30278111,-8.90383625,1,-0.592699528,0.349697769,1
-0.756433725,-1.199401379,1,-0.339300662,-0.768597424,0
3.364416122,-3.525353909,1,0.182335362,-2.265322924,1
7.014261723,-6.420838356,1,1.253072739,-2.78191185,1
9.047535896,-6.912953377,1,0.37895295,-2.094488621,1
7.941709042,-5.600133896,1,-0.159372345,-1.535290718,0
9.882390976,-7.731724739,1,1.408716679,-2.926160336,1
5.873967648,-5.039823532,1,1.446640491,-4.455429554,1
13.53149223,-9.931477547,1,-0.83274889,-0.36114198,0
3.876674175,-3.141744852,1,-0.976376534,0.581731737,1
4.845674992,-3.917626619,1,0.641178131,-2.603236437,1
-0.587984085,-1.185027838,1,1.370918751,-2.045774698,0
4.358159542,-3.315732002,1,-0.887914658,0.305690229,0
1.035759807,-2.010864019,1,-0.187937036,-1.135423422,0
1.031351089,-2.009407759,1,-0.187937036,-1.135423422,0
6.361109734,-5.01123333,1,1.019423962,-3.551406622,1
1.770805478,-2.072432756,1,-0.67642498,-0.038474366,1
1.850870013,-2.451540232,1,-0.38232711,-1.604116678,0
13.75262928,-10.0566721,1,0.447569817,-2.387920141,1
5.125920296,-4.343783379,1,0.612792015,-2.337846041,1
33.69261169,-22.47505379,1,-2.041166306,1.457738161,1
14.52740002,-10.54969501,1,-0.778824329,-0.418937027,0
14.48631191,-10.7465601,1,1.555969715,-4.511583328,1
36.73161316,-23.84739113,1,0.622177601,-2.11174798,1
20.94533348,-14.83884335,1,0.410273045,-2.045201778,1
5.847206593,-5.96952343,1,0.291887254,-2.161473989,1
10.46250629,-7.573671341,1,1.977983952,-3.789242029,1
10.03891373,-7.603117943,1,1.965794563,-3.751907349,1
0.32745865,-1.581511736,1,1.832071066,-2.796096087,0
-5.014859676,1.674236774,1,0.693063259,-1.634063721,0
8.025458336,-6.343963623,1,0.637408733,-1.587403297,0
-7.219842434,1.650163531,1,-0.034764785,-0.861907303,0
11.299119,-8.787581444,1,-1.229622126,0.612731397,1
8.611161232,-7.878299713,1,-0.8996315,0.624014795,1
2.570096254,-4.653003693,1,0.045888405,-0.742488205,0
16.46418381,-11.81165791,1,0.695895672,-2.477598906,1
11.77522755,-8.74667263,1,0.614100933,-2.211537838,1
9.034581184,-6.970622063,1,0.045335751,-0.83104068,0
10.07307816,-7.43734169,1,0.281238049,-1.445476294,0
13.49827194,-9.915354729,1,0.246015534,-1.460036516,0
7.091202259,-5.544254303,1,0.518993855,-1.625397921,0
5.24444437,-4.183663368,1,-0.001042385,-0.223751351,0
4.36797142,-3.926817417,1,1.281542778,-4.338319778,0
4.105362415,-3.325065851,1,0.918961525,-2.646151781,1
6.422199726,-4.453706741,1,0.200914845,-1.710055828,1
8.890520096,-6.713817596,1,1.1567173,-3.235337019,1
6.731291771,-5.074860573,1,0.912220955,-2.085501671,1
9.203879356,-6.960292816,1,0.369769543,-1.558041573,1
0.61406678,-2.111893892,1,0.264214009,-1.119131565,0
-3.632167339,0.475267768,0,-0.241858974,-1.281235933,0
10.85788822,-7.978212357,1,0.157211766,-1.930832148,1
12.76411247,-9.327607155,1,0.678657055,-3.116461039,1
-2.514097214,-0.109695688,0,2.322752476,-4.123497009,1
3.635660887,-3.581870794,1,0.918691158,-2.042352915,1
11.31250477,-8.682530403,1,1.121103764,-2.4544909,1
-3.295498133,0.416535676,0,1.850549698,-3.064561129,1
0.289269716,-1.755391359,1,0.741158009,-1.695313931,0
4.170579433,-3.223422766,1,1.439284801,-2.693842888,1
9.584793091,-7.121869087,1,-0.519626141,-0.895680249,0
-1.151022434,-0.234620571,0,1.018923283,-3.094472647,1
6.632656574,-5.178425789,1,1.927954197,-3.31481266,1
1.622319102,-3.218277693,1,1.373430252,-3.108111143,1
10.5769825,-7.818864822,1,1.341678619,-2.207167864,0
4.810352802,-3.921951532,1,1.241738319,-2.516072273,1
7.897554874,-6.299899101,1,1.062866211,-2.217202425,0
9.726600647,-7.092532158,1,1.055943012,-1.837748289,1
6.864702225,-5.03704834,1,0.089553341,-0.620300591,0
10.98932362,-8.152960777,1,0.53742075,-1.204187393,0
0.65668416,-1.285670877,1,0.469661206,-1.796836615,0
1.447642922,-2.146193743,1,1.113677979,-2.828093767,1
12.02987385,-8.54642868,1,0.126268849,-1.36486125,0
6.041786671,-5.035561562,1,2.039770603,-3.223778963,1
10.35624599,-6.941398621,1,0.327999562,-1.880911589,0
1.467769146,-2.419728041,1,3.030812263,-5.144018173,1
0.047132097,-1.193876147,1,2.97650528,-5.955706596,1
3.762711048,-3.760968924,1,1.683716297,-2.760587454,0
7.958054066,-6.678009987,1,2.862020969,-4.630187035,1
4.977124214,-4.283932686,1,-0.301496059,-1.522008181,0
6.80277729,-5.268068314,1,1.966370106,-5.126767159,1
5.416494846,-4.653258324,1,1.42075491,-2.798642874,1
-10.52437878,3.264869928,1,1.990923882,-3.908715487,1
